$ python3 transformer.py 
Epoch: 1, Loss: 8.692359924316406
Epoch: 2, Loss: 8.557941436767578
Epoch: 3, Loss: 8.482381820678711
Epoch: 4, Loss: 8.431346893310547
Epoch: 5, Loss: 8.373403549194336
Epoch: 6, Loss: 8.307692527770996
Epoch: 7, Loss: 8.231745719909668
Epoch: 8, Loss: 8.151849746704102
Epoch: 9, Loss: 8.069548606872559
Epoch: 10, Loss: 7.980243682861328
Epoch: 11, Loss: 7.905853748321533
Epoch: 12, Loss: 7.825273513793945
Epoch: 13, Loss: 7.742717742919922
Epoch: 14, Loss: 7.6557745933532715
Epoch: 15, Loss: 7.576831340789795
Epoch: 16, Loss: 7.494454860687256
Epoch: 17, Loss: 7.404665470123291
Epoch: 18, Loss: 7.3247294425964355
Epoch: 19, Loss: 7.236865043640137
Epoch: 20, Loss: 7.157233238220215
Epoch: 21, Loss: 7.081176280975342
Epoch: 22, Loss: 7.003256320953369
Epoch: 23, Loss: 6.9343366622924805
Epoch: 24, Loss: 6.854508876800537
Epoch: 25, Loss: 6.78164005279541
Epoch: 26, Loss: 6.711668491363525
Epoch: 27, Loss: 6.646244525909424
Epoch: 28, Loss: 6.55412483215332
Epoch: 29, Loss: 6.494483947753906
Epoch: 30, Loss: 6.418997764587402
Epoch: 31, Loss: 6.346652984619141
Epoch: 32, Loss: 6.2808003425598145
Epoch: 33, Loss: 6.209356307983398
Epoch: 34, Loss: 6.150327682495117
Epoch: 35, Loss: 6.078948020935059
Epoch: 36, Loss: 6.017176628112793
Epoch: 37, Loss: 5.952456474304199
Epoch: 38, Loss: 5.889224052429199
Epoch: 39, Loss: 5.8307623863220215
Epoch: 40, Loss: 5.775609970092773
Epoch: 41, Loss: 5.705636024475098
Epoch: 42, Loss: 5.642360687255859
Epoch: 43, Loss: 5.574976444244385
Epoch: 44, Loss: 5.519349575042725
Epoch: 45, Loss: 5.4617815017700195
Epoch: 46, Loss: 5.400683403015137
Epoch: 47, Loss: 5.337316036224365
Epoch: 48, Loss: 5.283294200897217
Epoch: 49, Loss: 5.224362850189209
Epoch: 50, Loss: 5.1686530113220215
Epoch: 51, Loss: 5.1116557121276855
Epoch: 52, Loss: 5.055173397064209
Epoch: 53, Loss: 5.006159782409668
Epoch: 54, Loss: 4.948128700256348
Epoch: 55, Loss: 4.891916751861572
Epoch: 56, Loss: 4.8323187828063965
Epoch: 57, Loss: 4.781932353973389
Epoch: 58, Loss: 4.736730575561523
Epoch: 59, Loss: 4.684504508972168
Epoch: 60, Loss: 4.620578765869141
Epoch: 61, Loss: 4.567490577697754
Epoch: 62, Loss: 4.521676063537598
Epoch: 63, Loss: 4.467992782592773
Epoch: 64, Loss: 4.42103385925293
Epoch: 65, Loss: 4.367310047149658
Epoch: 66, Loss: 4.317276954650879
Epoch: 67, Loss: 4.263712406158447
Epoch: 68, Loss: 4.209233283996582
Epoch: 69, Loss: 4.1684346199035645
Epoch: 70, Loss: 4.1180806159973145
Epoch: 71, Loss: 4.0726752281188965
Epoch: 72, Loss: 4.027719974517822
Epoch: 73, Loss: 3.9741039276123047
Epoch: 74, Loss: 3.9227092266082764
Epoch: 75, Loss: 3.873640298843384
Epoch: 76, Loss: 3.828557252883911
Epoch: 77, Loss: 3.781235933303833
Epoch: 78, Loss: 3.7312004566192627
Epoch: 79, Loss: 3.6889584064483643
Epoch: 80, Loss: 3.6433656215667725
Epoch: 81, Loss: 3.5922839641571045
Epoch: 82, Loss: 3.544921875
Epoch: 83, Loss: 3.501509428024292
Epoch: 84, Loss: 3.4552125930786133
Epoch: 85, Loss: 3.4104015827178955
Epoch: 86, Loss: 3.3689119815826416
Epoch: 87, Loss: 3.3269667625427246
Epoch: 88, Loss: 3.28218936920166
Epoch: 89, Loss: 3.2341623306274414
Epoch: 90, Loss: 3.1874895095825195
Epoch: 91, Loss: 3.146742105484009
Epoch: 92, Loss: 3.0963873863220215
Epoch: 93, Loss: 3.05489182472229
Epoch: 94, Loss: 3.0188674926757812
Epoch: 95, Loss: 2.966585397720337
Epoch: 96, Loss: 2.925978183746338
Epoch: 97, Loss: 2.8834235668182373
Epoch: 98, Loss: 2.8380813598632812
Epoch: 99, Loss: 2.7991714477539062
Epoch: 100, Loss: 2.7558720111846924

